"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 05 06:42:43 UTC 2026","Sat Sep 05 06:42:44 UTC 2026","1016","Gradle suite","Gradle test","tests.BrandTests","tests.BrandTests","get_brand_by_id_ok","get_brand_by_id_ok",""
"unknown","Sat Sep 05 06:42:21 UTC 2026","Sat Sep 05 06:42:21 UTC 2026","0","Gradle suite","Gradle test","tests.ProductTests","tests.ProductTests","list_products_with_filters_ok","list_products_with_filters_ok",""
"passed","Sat Sep 05 06:42:44 UTC 2026","Sat Sep 05 06:42:46 UTC 2026","1599","Gradle suite","Gradle test","tests.CartTests","tests.CartTests","addItemToCart_succeeds_whenRequestIsValid","addItemToCart_succeeds_whenRequestIsValid",""
"passed","Sat Sep 05 06:42:25 UTC 2026","Sat Sep 05 06:42:27 UTC 2026","1842","","Cart management","","Add product to cart","","Add product to cart","  As a shopper
  I want to manage items in my cart
  So that I can complete purchases"
"passed","Sat Sep 05 06:42:56 UTC 2026","Sat Sep 05 06:42:57 UTC 2026","1136","Gradle suite","Gradle test","tests.ProductTests","tests.ProductTests","get_product_by_id_ok","get_product_by_id_ok",""
"passed","Sat Sep 05 06:42:57 UTC 2026","Sat Sep 05 06:42:58 UTC 2026","575","Gradle suite","Gradle test","tests.UserTests","tests.UserTests","login_returns_token","login_returns_token",""
"passed","Sat Sep 05 06:42:34 UTC 2026","Sat Sep 05 06:42:36 UTC 2026","1432","","Invoice management","","List invoices first page","","List invoices first page","  As an authenticated user
  I want to review invoices
  So that I can track my orders"
"passed","Sat Sep 05 06:42:42 UTC 2026","Sat Sep 05 06:42:43 UTC 2026","524","Gradle suite","Gradle test","tests.BrandTests","tests.BrandTests","get_all_brands_list_all_brands_with_status_code_200","get_all_brands_list_all_brands_with_status_code_200",""
"passed","Sat Sep 05 06:42:44 UTC 2026","Sat Sep 05 06:42:44 UTC 2026","530","Gradle suite","Gradle test","tests.BrandTests","tests.BrandTests","store_new_brand_returns_201","store_new_brand_returns_201",""
"passed","Sat Sep 05 06:42:37 UTC 2026","Sat Sep 05 06:42:39 UTC 2026","1600","","Product catalogue","","Get product details by id","","Get product details by id","  As a store visitor
  I want to browse the product catalogue
  So that I can discover items to purchase"
"passed","Sat Sep 05 06:42:51 UTC 2026","Sat Sep 05 06:42:52 UTC 2026","1022","Gradle suite","Gradle test","tests.CartTests","tests.CartTests","get_cart_by_id_returns_specific_cart","get_cart_by_id_returns_specific_cart",""
"passed","Sat Sep 05 06:42:40 UTC 2026","Sat Sep 05 06:42:40 UTC 2026","574","","User account flows","","Successful login returns an access token","","Successful login returns an access token",""
"passed","Sat Sep 05 06:42:46 UTC 2026","Sat Sep 05 06:42:46 UTC 2026","526","Gradle suite","Gradle test","tests.CartTests","tests.CartTests","create_cart_creates_new_cart","create_cart_creates_new_cart",""
"passed","Sat Sep 05 06:42:48 UTC 2026","Sat Sep 05 06:42:51 UTC 2026","3167","Gradle suite","Gradle test","tests.CartTests","tests.CartTests","delete_product_from_cart_removes_product","delete_product_from_cart_removes_product",""
"passed","Sat Sep 05 06:42:36 UTC 2026","Sat Sep 05 06:42:36 UTC 2026","646","","Product catalogue","","List products with default parameters","","List products with default parameters","  As a store visitor
  I want to browse the product catalogue
  So that I can discover items to purchase"
"passed","Sat Sep 05 06:42:46 UTC 2026","Sat Sep 05 06:42:48 UTC 2026","1050","Gradle suite","Gradle test","tests.CartTests","tests.CartTests","delete_cart_by_id_removes_cart","delete_cart_by_id_removes_cart",""
"passed","Sat Sep 05 06:42:55 UTC 2026","Sat Sep 05 06:42:56 UTC 2026","734","Gradle suite","Gradle test","tests.InvoiceTests","tests.InvoiceTests","list_invoices_first_page_ok","list_invoices_first_page_ok",""
